10421	5763	4045	3076	2507	2168	1874	1676	1575	1488	1378	1316	1323	1239	1250	
10652	6182	4412	3431	2820	2358	2098	1802	1677	1553	1583	1477	1515	1441	1466	
11181	7513	5925	4635	2916	3045	2850	2497	2400	2084	2166	2214	2255	2366	2666	
17273	10874	7903	6049	4844	4135	3518	3007	2959	2916	2875	2736	2761	2808	2786	
20489	12535	8464	6341	5082	4243	3617	3177	3063	2954	2905	2811	2766	2758	2750	
21531	12726	8392	6369	5069	4269	3600	3141	3043	2964	2874	2804	2757	2752	2740	
22626	12944	8659	6440	5252	4271	3702	3214	3178	3219	3360	3583	3806	4332	4818	
24525	18092	15532	13179	11237	9642	8342	7337	8110	8960	9766	11028	12073	12665	12867	
26051	21397	20853	20994	20002	18989	17496	15793	15680	15504	15343	15345	15166	15268	14993	
26559	21942	21603	21724	21264	20093	17874	17246	15997	16616	15770	15524	15211	15257	15024	
26524	21998	21758	21638	21045	19546	18087	17109	15802	15814	15386	16176	15111	14720	14820	
26554	21998	21845	21535	21059	20226	18967	15925	15801	17245	15643	15765	15597	15729	23439	
33409	32456	31457	30843	30115	29172	28683	28444	28616	29043	31816	31597	27155	27857	30674	
33684	32100	31028	29941	29250	28437	27083	30118	31597	30560	31021	31023	30882	21828	31023	
